User_ID,App,Age,Daily_Minutes_Spent,Posts_Per_Day,Likes_Per_Day,Follows_Per_Day
U_152,Pinterest,54,34,19,119,39
U_153,Facebook,40,479,17,68,0
U_154,Pinterest,56,134,9,128,30
U_155,TikTok,62,246,14,81,41
U_156,Pinterest,32,105,4,144,5
U_157,LinkedIn,60,418,12,126,8
U_158,LinkedIn,46,296,1,154,49
U_159,LinkedIn,53,384,12,71,17
U_160,LinkedIn,30,426,2,14,47
U_161,LinkedIn,49,191,12,75,44
U_162,Facebook,19,369,6,94,13
U_163,Twitter,39,389,1,200,11
U_164,Twitter,45,489,0,115,33
U_165,Pinterest,19,371,7,35,20
U_166,Instagram,59,50,20,95,42
U_167,Facebook,62,492,3,182,6
U_168,Instagram,19,444,15,193,27
U_169,TikTok,45,145,10,155,47
U_170,Snapchat,45,377,1,130,18
U_171,LinkedIn,61,299,11,67,9
U_172,TikTok,61,477,19,101,6
U_173,Twitter,37,493,12,182,41
U_174,LinkedIn,47,33,2,22,50
U_175,Instagram,28,180,20,30,4
U_176,Snapchat,45,268,15,91,28
U_177,LinkedIn,42,220,14,196,6
U_178,Instagram,56,391,1,141,13
U_179,Instagram,50,90,10,90,9
U_180,TikTok,19,219,13,106,39
U_181,Instagram,44,161,16,92,11
U_182,TikTok,30,107,18,50,20
U_183,Twitter,58,370,20,188,10
U_184,TikTok,19,25,8,48,37
U_185,TikTok,56,193,4,20,47
U_186,TikTok,19,413,0,140,46
U_187,TikTok,19,425,15,129,20
U_188,Snapchat,44,89,1,5,14
U_189,Facebook,19,97,6,86,43
U_190,TikTok,54,175,4,147,12
U_191,LinkedIn,50,26,2,47,16
U_192,Twitter,59,272,7,1,28
U_193,Twitter,61,21,15,180,37
U_194,Facebook,41,28,2,95,23
U_195,LinkedIn,32,255,18,137,17
U_196,TikTok,49,459,13,165,14
U_197,Twitter,49,80,18,6,3
U_198,Facebook,41,230,12,162,41
U_199,LinkedIn,58,27,6,77,26
U_200,Facebook,29,141,0,165,13
U_201,Twitter,56,284,16,9,35
U_202,Twitter,19,149,3,169,1
U_203,Pinterest,19,10,6,63,7
U_204,LinkedIn,54,487,19,25,21
U_205,TikTok,34,231,14,50,42
U_206,Facebook,19,245,5,107,41
U_207,Pinterest,19,58,12,58,27
U_208,Instagram,45,436,1,8,16
U_209,LinkedIn,40,23,3,62,8
U_210,TikTok,54,250,1,100,50
U_211,Snapchat,49,169,20,14,8
U_212,Pinterest,50,150,8,86,32
U_213,LinkedIn,19,210,3,25,20
U_214,LinkedIn,36,213,9,87,43
U_215,Twitter,19,492,2,83,42
U_216,Twitter,61,299,19,12,34
U_217,Snapchat,43,491,0,124,21
U_218,TikTok,49,410,5,182,48
U_219,Instagram,19,211,15,18,38
U_220,Twitter,49,406,4,178,43
U_221,Snapchat,19,418,12,78,38
U_222,Twitter,28,143,0,12,13
U_223,Facebook,34,461,11,141,7
U_224,Twitter,55,81,8,9,15
U_225,TikTok,41,143,2,141,14
U_226,Instagram,20,296,16,194,15
U_227,Instagram,51,222,13,14,42
U_228,Facebook,20,170,17,4,28
U_229,Instagram,39,29,20,172,31
U_230,Twitter,28,234,11,120,37
U_231,Snapchat,33,201,13,173,50
U_232,Instagram,50,403,8,128,3
U_233,Instagram,20,132,12,149,22
U_234,TikTok,20,218,0,107,5
U_235,Snapchat,33,434,10,87,47
U_236,Instagram,46,166,15,123,33
U_237,Snapchat,20,336,8,167,40
U_238,Twitter,37,99,8,42,41
U_239,LinkedIn,53,155,19,169,31
U_240,Instagram,36,53,2,82,33
U_241,Pinterest,43,11,12,190,7
U_242,Pinterest,20,324,8,151,49
U_243,Pinterest,36,251,15,125,23
U_244,TikTok,37,16,9,102,48
U_245,Pinterest,49,7,13,138,27
U_246,Twitter,20,34,17,93,28
U_247,Facebook,58,496,0,121,24
U_248,Instagram,50,400,1,101,50
U_249,Pinterest,57,403,10,105,3
U_250,LinkedIn,56,266,2,68,18
U_251,Facebook,35,420,16,50,14
U_252,Facebook,57,249,19,158,35
U_253,TikTok,20,423,13,115,45
U_254,LinkedIn,28,118,12,45,30
U_255,Instagram,45,388,2,153,37
U_256,Twitter,42,20,0,76,26
U_257,TikTok,40,118,20,193,25
U_258,Pinterest,48,417,14,79,16
U_259,LinkedIn,47,83,12,78,16
U_260,Twitter,59,470,6,33,49
U_261,Snapchat,52,171,3,100,10
U_262,TikTok,20,436,0,29,8
U_263,Instagram,33,327,20,180,18
U_264,Snapchat,43,141,0,22,3
U_265,Pinterest,20,290,17,189,26
U_266,Pinterest,20,69,13,123,0
U_267,Pinterest,29,253,12,151,39
U_268,Facebook,20,133,3,63,3
U_269,Twitter,54,118,0,35,32
U_270,Facebook,49,156,17,55,24
U_271,Snapchat,20,14,12,11,29
U_272,TikTok,58,195,9,141,47
U_273,Facebook,52,345,13,8,37
U_274,LinkedIn,36,419,0,103,2
U_275,Twitter,33,126,15,78,28
U_276,Snapchat,20,219,10,188,15
U_277,Pinterest,37,105,10,95,12
U_278,Pinterest,41,290,7,183,49
U_279,Instagram,50,397,16,169,44
U_280,LinkedIn,41,300,15,6,50
U_281,Facebook,28,34,18,161,30
U_282,Facebook,20,161,8,192,7
U_283,Instagram,53,7,12,189,43
U_284,Facebook,55,91,1,129,20
U_285,LinkedIn,57,86,17,56,6
U_286,Instagram,37,398,20,56,18
U_287,Twitter,52,342,18,82,26
U_288,Instagram,42,7,16,61,0
U_289,Snapchat,52,100,4,70,37
U_290,Pinterest,42,325,14,98,31
U_291,Pinterest,46,216,4,146,38
U_292,Twitter,35,320,6,131,47
U_293,Snapchat,63,264,18,124,28
U_294,Twitter,35,269,10,121,14
U_295,TikTok,20,32,14,152,1
U_296,Snapchat,52,452,3,70,34
U_297,TikTok,33,136,11,60,0
U_298,LinkedIn,58,68,3,33,15
U_299,Instagram,53,344,1,173,20
U_300,Twitter,50,437,15,38,4
U_301,Instagram,20,396,3,48,2
U_302,TikTok,50,67,20,69,4
U_303,LinkedIn,31,492,16,186,42
U_304,Facebook,38,317,8,108,1
U_305,Facebook,37,302,11,133,36
U_306,Instagram,20,387,10,198,32
U_307,Facebook,20,299,18,35,10
U_308,Snapchat,20,492,0,109,8
U_309,LinkedIn,34,256,16,63,20
U_310,Twitter,50,248,11,79,40
U_311,TikTok,29,334,16,180,25
U_312,Instagram,39,421,18,43,11
U_313,Facebook,39,296,16,165,33
U_314,Facebook,63,73,19,42,22
U_315,TikTok,47,52,10,11,0
U_316,LinkedIn,55,239,13,110,20
U_317,Pinterest,55,477,14,89,47
U_318,Instagram,62,359,2,60,16
U_319,LinkedIn,20,135,0,194,22
U_320,TikTok,44,443,0,93,37
U_321,Facebook,44,440,5,185,47
U_322,Instagram,51,336,4,89,5
U_323,Twitter,38,15,3,135,33
U_324,Twitter,47,92,7,150,32
U_325,Facebook,50,85,11,180,14
U_326,Facebook,45,368,0,11,30
U_327,Snapchat,64,69,8,160,45
U_328,Facebook,50,415,0,184,17
U_329,Twitter,20,167,6,174,45
U_330,Facebook,36,298,15,26,25
U_331,Snapchat,20,240,18,39,20
U_332,Pinterest,52,406,11,182,19
U_333,Facebook,34,118,4,112,12
U_334,Instagram,61,363,11,115,27
U_335,LinkedIn,45,274,4,67,42
U_336,Snapchat,47,169,11,48,19
U_337,LinkedIn,46,335,4,38,42
U_338,Pinterest,63,264,1,42,19
U_339,Facebook,20,446,8,131,21
U_340,LinkedIn,52,374,19,63,12
U_341,Instagram,58,58,17,32,11
U_342,Instagram,54,95,7,18,39
U_343,LinkedIn,41,387,18,183,34
U_344,Snapchat,46,415,16,149,45
U_345,Snapchat,63,404,8,55,1
U_346,LinkedIn,48,24,10,88,44
U_347,Pinterest,52,166,3,139,47
U_348,TikTok,50,128,14,79,21
U_349,Snapchat,38,37,5,91,10
U_350,Facebook,49,212,2,165,34
U_351,Twitter,40,295,4,100,45
U_352,Snapchat,50,236,5,177,12
U_353,Instagram,21,233,6,51,33
U_354,Snapchat,35,354,9,35,45
U_355,Facebook,42,486,4,9,8
U_356,Snapchat,59,99,7,102,8
U_357,TikTok,48,200,6,71,18
U_358,Twitter,21,170,5,21,44
U_359,Facebook,57,138,8,30,2
U_360,Pinterest,63,20,4,13,26
U_361,Pinterest,41,116,18,16,38
U_362,Twitter,49,340,8,59,14
U_363,Pinterest,64,241,17,42,48
U_364,Twitter,39,332,6,40,33
U_365,Snapchat,40,295,1,99,2
U_366,Twitter,21,293,19,95,33
U_367,Twitter,44,256,0,2,37
U_368,Facebook,59,460,8,27,20
U_369,Instagram,21,416,19,169,47
U_370,LinkedIn,43,126,2,115,48
U_371,Facebook,34,27,1,56,3
U_372,Pinterest,57,403,9,115,35
U_373,Facebook,50,153,1,14,10
U_374,Instagram,21,231,14,177,35
U_375,Twitter,60,440,11,73,22
U_376,Instagram,56,232,14,130,48
U_377,Facebook,46,25,4,76,47
U_378,Twitter,59,159,3,112,37
U_379,Instagram,43,228,18,88,7
U_380,Snapchat,52,47,2,179,41
U_381,Instagram,42,295,7,125,32
U_382,LinkedIn,41,483,16,48,42
U_383,TikTok,30,30,5,12,17
U_384,TikTok,21,389,2,3,16
U_385,Instagram,53,243,19,177,15
U_386,Pinterest,62,500,3,89,4
U_387,TikTok,37,135,18,146,1
U_388,Instagram,21,75,9,32,0
U_389,TikTok,21,84,19,18,43
U_390,TikTok,63,364,19,121,16
U_391,LinkedIn,33,72,0,19,0
U_392,Pinterest,31,282,4,87,16
U_393,Pinterest,29,391,15,76,28
U_394,LinkedIn,40,46,12,30,47
U_395,LinkedIn,32,193,19,75,13
U_396,TikTok,45,479,20,15,35
U_397,LinkedIn,51,248,15,42,5
U_398,Instagram,21,303,9,48,14
U_399,Facebook,49,438,11,10,20
U_400,Pinterest,40,76,15,147,23
U_401,TikTok,39,189,7,46,40
U_402,TikTok,42,197,5,59,10
U_403,Snapchat,39,223,3,70,24
U_404,Pinterest,39,76,2,17,7
U_405,LinkedIn,59,198,18,151,24
U_406,Pinterest,21,431,14,0,32
U_407,LinkedIn,32,201,8,152,12
U_408,Instagram,60,361,14,4,42
U_409,Pinterest,54,88,4,49,19
U_410,Twitter,50,237,11,43,22
U_411,Snapchat,21,48,5,55,32
U_412,TikTok,61,403,2,79,29
U_413,Facebook,61,127,15,195,30
U_414,TikTok,21,177,17,27,40
U_415,Twitter,56,305,18,194,12
U_416,Snapchat,21,176,7,156,22
U_417,LinkedIn,21,84,9,69,5
U_418,Snapchat,62,401,9,154,12
U_419,TikTok,49,351,14,22,2
U_420,TikTok,47,298,0,0,31
U_421,Pinterest,64,254,0,31,1
U_422,LinkedIn,52,108,7,68,44
U_423,LinkedIn,57,210,16,159,20
U_424,LinkedIn,33,201,15,69,46
U_425,Twitter,30,307,12,75,21
U_426,Snapchat,59,315,2,51,2
U_427,TikTok,47,17,20,35,24
U_428,Pinterest,36,380,13,28,6
U_429,Twitter,34,277,7,6,4
U_430,Snapchat,36,184,12,111,2
U_431,TikTok,45,483,17,146,18
U_432,TikTok,43,356,5,18,41
U_433,Twitter,54,276,10,173,22
U_434,Snapchat,43,29,20,193,23
U_435,LinkedIn,40,214,18,93,25
U_436,Instagram,21,487,20,63,21
U_437,Instagram,29,94,0,154,15
U_438,Twitter,21,17,19,108,47
U_439,TikTok,21,85,18,68,45
U_440,Twitter,64,327,3,108,28
U_441,Snapchat,51,77,5,110,38
U_442,Instagram,49,491,19,34,20
U_443,Twitter,42,287,1,68,20
U_444,Snapchat,57,426,16,16,38
U_445,Pinterest,62,254,0,35,41
U_446,Twitter,21,461,12,110,35
U_447,Snapchat,33,88,7,77,34
U_448,Facebook,56,400,8,127,46
U_449,Instagram,21,470,12,160,39
U_450,TikTok,39,246,13,151,23
U_451,Facebook,46,72,10,61,8
U_452,Snapchat,22,16,6,135,1
U_453,Snapchat,29,456,11,61,12
U_454,Pinterest,43,42,20,120,27
U_455,Twitter,33,463,2,176,49
U_456,Pinterest,54,225,11,100,24
U_457,Facebook,39,362,0,105,38
U_458,TikTok,46,284,1,37,4
U_459,Instagram,31,133,19,34,37
U_460,LinkedIn,45,68,8,123,17
U_461,TikTok,22,270,10,40,23
U_462,Snapchat,64,476,14,77,27
U_463,TikTok,47,333,1,198,3
U_464,Twitter,63,484,19,104,25
U_465,Twitter,22,298,5,156,7
U_466,TikTok,29,81,18,2,49
U_467,LinkedIn,33,395,14,116,35
U_468,Snapchat,43,275,1,62,38
U_469,Snapchat,43,435,8,161,14
U_470,Facebook,38,216,18,191,15
U_471,Snapchat,56,22,9,82,14
U_472,Facebook,53,448,7,12,28
U_473,Pinterest,50,458,20,94,0
U_474,Pinterest,47,222,17,28,47
U_475,Instagram,54,80,15,122,18
U_476,Snapchat,40,437,14,196,20
U_477,Twitter,27,469,11,180,2
U_478,LinkedIn,22,239,12,125,36
U_479,Facebook,53,477,11,187,22
U_480,LinkedIn,51,342,7,190,16
U_481,Snapchat,48,124,11,164,7
U_482,LinkedIn,27,80,8,165,37
U_483,Instagram,36,265,6,73,34
U_484,Twitter,49,325,18,76,32
U_485,TikTok,22,149,18,90,28
U_486,Pinterest,22,489,7,172,28
U_487,Snapchat,62,274,18,48,45
U_488,Facebook,22,30,11,139,2
U_489,Snapchat,33,284,16,4,22
U_490,Snapchat,41,337,9,8,37
U_491,TikTok,33,366,13,2,39
U_492,Instagram,22,353,8,24,9
U_493,LinkedIn,45,495,19,96,40
U_494,TikTok,49,388,6,125,14
U_495,Snapchat,44,468,8,193,33
U_496,Instagram,37,130,13,93,39
U_497,TikTok,41,84,1,178,26
U_498,Snapchat,29,322,12,53,45
U_499,TikTok,52,194,15,42,43
U_500,LinkedIn,50,384,3,130,10
U_501,Pinterest,50,292,15,96,48
U_502,TikTok,60,243,1,55,29
U_503,TikTok,54,130,10,11,36
U_504,Facebook,29,10,0,191,36
U_505,Snapchat,22,309,6,108,5
U_506,Facebook,22,438,15,83,2
U_507,TikTok,50,206,6,163,23
U_508,Snapchat,57,113,6,95,31
U_509,Pinterest,27,324,16,125,45
U_510,Pinterest,60,301,9,16,26
U_511,LinkedIn,61,367,19,172,24
U_512,Snapchat,46,283,1,177,21
U_513,Pinterest,30,61,2,18,12
U_514,Snapchat,29,156,16,122,34
U_515,Pinterest,48,213,15,105,22
U_516,Instagram,63,237,7,176,16
U_517,Twitter,22,408,17,19,0
U_518,LinkedIn,52,419,5,194,46
U_519,Facebook,40,96,3,65,10
U_520,Twitter,34,98,17,48,15
U_521,Twitter,43,48,18,120,35
U_522,Pinterest,22,185,18,165,16
U_523,Snapchat,46,20,19,126,3
U_524,LinkedIn,43,260,16,38,11
U_525,Facebook,27,292,2,121,7
U_526,LinkedIn,43,246,4,171,31
U_527,Snapchat,51,365,9,1,3
U_528,TikTok,58,242,7,35,22
U_529,LinkedIn,22,205,3,140,14
U_530,Snapchat,22,454,2,50,34
U_531,Snapchat,62,47,11,18,10
U_532,LinkedIn,28,294,9,148,21
U_533,TikTok,46,350,0,92,26
U_534,Facebook,53,106,11,72,14
U_535,Instagram,42,89,16,106,47
U_536,Instagram,38,259,12,144,28
U_537,Instagram,53,435,19,11,23
U_538,LinkedIn,27,211,7,51,19
U_539,Snapchat,54,423,18,3,43
U_540,Pinterest,22,424,12,63,23
U_541,Pinterest,41,76,1,85,32
U_542,LinkedIn,52,489,9,148,30
U_543,Snapchat,52,328,7,16,30
U_544,Pinterest,53,294,10,139,5
U_545,LinkedIn,35,238,19,170,27
U_546,LinkedIn,56,269,10,36,10
U_547,Pinterest,49,79,17,189,43
U_548,TikTok,41,129,0,113,2
U_549,Snapchat,40,201,11,100,34
U_550,Facebook,49,127,19,116,0
U_551,TikTok,54,115,14,15,14
U_552,Pinterest,29,25,11,50,33
U_553,Facebook,30,8,15,0,17
U_554,Instagram,40,227,3,191,42
U_555,TikTok,42,378,7,53,12
U_556,LinkedIn,52,91,6,55,46
U_557,TikTok,58,194,16,91,38
U_558,Pinterest,47,435,12,187,25
U_559,Pinterest,34,169,1,158,49
U_560,Twitter,37,467,11,23,27
U_561,LinkedIn,42,263,0,117,42
U_562,Instagram,39,40,16,74,47
U_563,Snapchat,30,310,1,47,41
U_564,Pinterest,36,174,1,53,46
U_565,Twitter,53,388,5,157,21
U_566,Instagram,29,93,20,136,4
U_567,Pinterest,58,322,8,124,10
U_568,Facebook,36,401,2,164,28
U_569,Facebook,29,189,19,117,28
U_570,LinkedIn,22,130,11,141,0
U_571,Facebook,22,287,13,130,3
U_572,Snapchat,45,21,5,54,4
U_573,Pinterest,31,444,4,79,47
U_574,LinkedIn,48,261,4,97,2
U_575,Snapchat,36,36,15,166,39
U_576,LinkedIn,64,46,6,58,11
U_577,Pinterest,33,212,19,115,2
U_578,Facebook,22,242,9,55,24
U_579,TikTok,52,236,3,78,12
U_580,Snapchat,29,297,3,79,39
U_581,Facebook,42,408,18,71,25
U_582,Pinterest,38,402,17,19,40
U_583,TikTok,53,455,5,146,19
U_584,Twitter,40,46,13,34,16
U_585,Snapchat,33,377,7,188,4
U_586,Pinterest,56,81,12,78,12
U_587,Twitter,62,19,4,10,13
U_588,Snapchat,59,239,13,92,35
U_589,LinkedIn,56,456,10,34,8
U_590,Pinterest,31,308,10,40,30
U_591,Instagram,48,414,12,53,25
U_592,TikTok,22,224,8,90,43
U_593,LinkedIn,52,427,11,113,29
U_594,Instagram,40,288,18,17,26
U_595,TikTok,46,477,5,58,47
U_596,LinkedIn,60,210,5,32,32
U_597,LinkedIn,28,252,6,63,0
U_598,Pinterest,35,157,15,136,4
U_599,Instagram,64,410,6,164,15
U_600,Twitter,29,39,18,130,38
U_601,TikTok,22,264,3,77,23
U_602,Instagram,27,402,9,8,47
U_603,Snapchat,61,24,0,193,38
U_604,Instagram,34,235,11,195,11
U_605,Pinterest,55,288,11,189,47
U_606,Facebook,22,274,10,150,43
U_607,Snapchat,63,399,18,48,24
U_608,Pinterest,30,479,15,51,8
U_609,TikTok,57,449,13,170,36
U_610,LinkedIn,59,130,15,32,9
U_611,Instagram,22,300,15,102,4
U_612,Instagram,44,112,20,179,39
U_613,Twitter,22,246,12,64,44
U_614,LinkedIn,22,109,16,165,36
U_615,Instagram,46,156,10,14,9
U_616,Snapchat,54,317,11,83,26
U_617,Snapchat,55,264,18,23,27
U_618,Twitter,36,296,1,114,2
U_619,LinkedIn,22,151,4,185,16
U_620,Snapchat,62,155,2,173,12
U_621,Snapchat,23,464,5,73,35
U_622,Facebook,39,17,13,33,41
U_623,Facebook,34,93,2,25,45
U_624,Pinterest,23,65,9,35,21
U_625,TikTok,42,295,9,56,15
U_626,LinkedIn,62,305,2,114,20
U_627,Twitter,23,233,18,172,12
U_628,Twitter,53,115,12,6,36
U_629,Facebook,23,280,20,104,46
U_630,Instagram,48,351,19,149,0
U_631,Snapchat,36,17,10,89,31
U_632,Pinterest,61,228,10,50,26
U_633,Snapchat,56,301,16,162,23
U_634,TikTok,44,383,18,46,19
U_635,Facebook,27,211,13,98,4
U_636,Pinterest,43,377,3,135,49
U_637,Facebook,36,321,16,47,12
U_638,Snapchat,56,194,12,63,19
U_639,LinkedIn,23,45,6,85,0
U_640,Instagram,62,276,11,75,27
U_641,Twitter,30,220,9,20,23
U_642,LinkedIn,45,433,9,19,11
U_643,Snapchat,37,262,14,51,48
U_644,Facebook,45,420,17,117,47
U_645,Pinterest,23,71,9,110,39
U_646,Facebook,58,148,4,84,44
U_647,TikTok,56,23,8,52,2
U_648,Snapchat,23,204,5,79,23
U_649,Instagram,23,167,14,72,9
U_650,Twitter,30,142,19,121,10
U_651,Facebook,45,476,15,126,20
U_652,Facebook,42,462,4,159,47
U_653,Facebook,50,315,3,37,11
U_654,TikTok,55,161,14,85,20
U_655,Twitter,23,384,7,63,32
U_656,Pinterest,61,59,9,22,3
U_657,LinkedIn,62,318,3,132,22
U_658,Twitter,49,90,9,132,25
U_659,Instagram,62,52,7,156,41
U_660,TikTok,64,159,15,58,30
U_661,Facebook,38,424,9,97,12
U_662,Pinterest,33,405,15,147,25
U_663,LinkedIn,38,227,8,40,10
U_664,LinkedIn,28,212,17,85,6
U_665,LinkedIn,54,44,13,53,5
U_666,TikTok,53,435,20,37,34
U_667,Instagram,52,67,2,114,34
U_668,LinkedIn,36,412,10,185,43
U_669,Instagram,37,76,12,108,47
U_670,Twitter,35,192,11,44,34
U_671,LinkedIn,64,186,16,190,21
U_672,TikTok,58,299,1,120,17
U_673,Facebook,31,52,12,191,11
U_674,Snapchat,32,383,16,101,1
U_675,Facebook,48,486,7,192,9
U_676,LinkedIn,23,243,18,165,0
U_677,Pinterest,23,491,9,49,42
U_678,Snapchat,33,395,6,87,33
U_679,LinkedIn,40,127,18,19,24
U_680,Instagram,28,67,6,9,50
U_681,Pinterest,29,337,7,132,11
U_682,Pinterest,27,305,10,139,47
U_683,TikTok,49,383,16,160,50
U_684,Instagram,33,481,6,61,49
U_685,Facebook,23,451,16,120,43
U_686,Snapchat,55,160,20,182,17
U_687,TikTok,29,8,15,139,0
U_688,Pinterest,41,179,18,33,1
U_689,Instagram,45,139,3,55,45
U_690,Twitter,23,317,19,138,35
U_691,Instagram,45,98,19,82,48
U_692,LinkedIn,53,233,0,173,16
U_693,Pinterest,43,435,6,128,23
U_694,Twitter,23,453,2,78,39
U_695,LinkedIn,45,176,13,88,3
U_696,Pinterest,45,374,8,124,20
U_697,Facebook,54,253,2,71,32
U_698,LinkedIn,58,179,12,12,49
U_699,Facebook,53,154,15,158,37
U_700,TikTok,44,281,8,43,17
U_701,Snapchat,34,251,2,104,17
U_702,Twitter,23,89,3,123,48
U_703,LinkedIn,50,436,10,115,22
U_704,Facebook,37,75,2,98,6
U_705,Instagram,30,161,14,133,30
U_706,Pinterest,45,67,17,61,32
U_707,Pinterest,46,18,16,37,41
U_708,Twitter,30,442,4,78,1
